id,supplier_ext_id,name,logo_url,url,load_id,source_created
352,2159,NHS South West Commissioning Support Unit,,https://www.scwcsu.nhs.uk/,99,2021-07-02
353,2160,BT,,https://www.bt.com/,99,2021-07-02
354,2161,Mindwave Ventures,,https://www.mindwaveventures.com/,99,2021-07-02
355,2162,InventAsia,inventAsia.jpg,https://www.invent-asia.com/,99,2021-07-02
356,2163,Maintel / Azzurri,,https://www.maintel.co.uk/industries/public-sector/,99,2021-07-02
357,2164,Voice Point,,,99,2021-07-02
358,2165,Qvera,,https://www.qvera.com,99,2021-07-02
359,2166,Huntleigh,Huntleigh.gif,http://www.huntleigh-diagnostics.com/,99,2021-07-02
360,2167,Filemaker,Filemaker.jpg,https://www.claris.com/,99,2021-07-02
361,2169,Southern HSC Trust,,https://southerntrust.hscni.net/,99,2021-07-02
362,2170,Welch Allyn,,www.welchallyn.com,99,2021-07-02
363,2171,Finexe Systems,Finexe Systems.jpg,http://www.finexe.co.uk/,99,2021-07-02
364,2172,Mill Systems,,https://www.millsystems.com/,99,2021-07-02
365,2173,Baxter,,https://www.baxter.com/,99,2021-07-02
366,2174,Northumbria Healthcare NHS Foundation Trust,,https://www.northumbria.nhs.uk/,99,2021-07-02
367,2175,Capita Healthcare Decisions,,https://capitahealthcaredecisions.com/,99,2021-07-02
368,2176,iQ HealthTech,,https://www.iqhealth.tech/,999,2021-12-15
369,2177,NCS Technologies,NCS-Technologies.jpg,www.ncstech.com,99,2021-07-02
370,2178,Askey,,https://www.askey.com.tw/,99,2021-07-02
371,2179,Health Fabric,,https://www.healthfabric.co.uk/,99,2021-07-02
372,2180,Renaissance Computer Services,Renaissance Computer Services.jpg,www.renaissance.co.uk,99,2021-07-02
373,2181,Datatron,,http://www.datatron.co.uk/,99,2021-07-02
374,2182,Dictaphone,,,99,2021-07-02
375,2183,GSA,,https://www.gsaltd.com/,99,2021-07-02
376,2184,MediCUS,,https://mela.co.uk/medicus-critical-care/,99,2021-07-02
377,2185,3rd part SLA,,,99,2021-07-02
378,2186,ImageNow,,http://imagenow.ie/,99,2021-07-02
379,2187,Genial Genetics,,http://www.genialgenetics.com/,99,2021-07-02
380,2188,Cscribe,,,99,2021-07-02
381,2189,Nisis,,,99,2021-07-02
382,2190,Teletracking,,https://www.teletracking.com/,99,2021-07-02
383,2191,Destiny,,https://www.destiny.be/en,99,2021-07-02
384,2192,Data Innovations,Data Innovations.jpg,https://www.datainnovations.com/,99,2021-07-02
385,2193,Gael,Gael.jpg,https://www.ideagen.com/,99,2021-07-02
386,2194,Skills for Health,,https://skillsforhealth.org.uk/,2515,2022-07-01
387,2195,Softcat,Softcat.jpg,www.softcat.com,99,2021-07-02
388,2196,Noemalife,noemalife.jpg,www.noemalife.com,99,2021-07-02
389,2197,EndoSoft,EndoSoft.jpg,https://www.endosoft.com/,99,2021-07-02
390,2198,Path Links,,https://www.nlg.nhs.uk/services/pathology/,99,2021-07-02
391,2199,IBG Immucor,IBG.jpg,www.immucor.com,99,2021-07-02
392,2200,Get Real Health,,https://getrealhealth.com/,99,2021-07-02
393,2201,TIBCO,Tibco.jpg,www.tibco.com,99,2021-07-02
394,2202,MD Medicus,,https://www.md-medicus.net/en/home,99,2021-07-02
395,2203,N3,,https://n3results.com/,99,2021-07-02
396,2204,OceanoPAS,,https://www.servelec.co.uk/product-range/oceano/,99,2021-07-02
397,2205,Boxxe,,https://www.boxxe.com/,99,2021-07-02
398,2206,Clinical Computing,,https://www.constellationkidney.com/clinicalcomputing/?utm_source=ccl.com&utm_medium=web,99,2021-07-02
399,2207,Arrendale Associates,,https://aaita.com/,99,2021-07-02
400,2208,API Healthcare,,https://apihealthcare.com/client-support,99,2021-07-02
401,2210,Sysmex,,https://www.sysmex.co.uk/n/,99,2021-07-02
402,2211,Healthcare Software Solutions,,https://www.wellbeingsoftware.com/,99,2021-07-02
403,2213,ICIP,,,99,2021-07-02
404,2214,Wirral University Teaching Hospitals,,https://www.wuth.nhs.uk/,99,2021-07-02
405,2215,Yellowfin,,https://www.yellowfinbi.com/,99,2021-07-02
406,2216,V7 Technology,V7.jpg,www2.v7technology.com,99,2021-07-02
407,2217,Worcestershire Acute Hospitals NHS Trust,,https://www.worcsacute.nhs.uk/our-trust,99,2021-07-02
408,2218,Folding Space,Folding Space.jpg,https://www.foldingspace.co.uk/,99,2021-07-02
409,2219,Frimley Health NHS Foundation Trust,,https://www.fhft.nhs.uk/,99,2021-07-02
410,2220,Getinge,,https://www.getinge.com/uk/,99,2021-07-02
411,2223,CareFlow Medicines Management,,www.CareFlowmm.com,681,2021-11-04
412,2224,Alcidion,,https://www.alcidion.com/about/,1292,2022-01-24
